"CAM","ID","MIN","MAX","COORD"
-1652,6,407,407,1131923890
-1652,7,177,177,1131923890
-1652,8,249,249,1131923890
-1652,9,281,281,1131923890
-1652,10,345,345,1131923890
-1652,11,367,367,1131923890
-1652,12,391,391,1131923890
-1652,13,449,449,1131923890
-1652,14,491,491,1131923890
-1652,15,493,493,1131923890
-1652,16,157,157,1131923890
-1652,17,189,189,1131923890
-1652,18,223,223,1131923890
-1652,19,253,253,1131923890
-1652,20,509,509,1131923890
-1652,21,475,475,1131923890
-1652,22,347,347,1131923890
-1652,23,395,395,1131923890
-1652,24,201,201,1131923890
-1652,25,319,319,1131923890
-1634,1,363,363,1174623267
-1634,2,315,315,1174623267
-1634,3,291,291,1174623267
-1634,4,205,205,1174623267
-1634,5,405,405,1174623267
-1634,6,407,407,1174623267
-1634,7,177,177,1174623267
-1634,8,245,245,1174623267
-1634,9,283,283,1174623267
-1634,10,345,345,1174623267
-1634,11,369,369,1174623267
-1634,12,393,393,1174623267
-1634,13,451,451,1174623267
-1634,14,491,491,1174623267
-1634,15,491,491,1174623267
-1634,16,159,159,1174623267
-1634,17,559,559,1174623267
-1634,18,227,227,1174623267
-1634,19,255,255,1174623267
-1634,20,511,511,1174623267
-1634,21,475,475,1174623267
-1634,22,349,349,1174623267
-1634,23,399,399,1174623267
-1634,24,205,205,1174623267
-1634,25,321,321,1174623267
-1619,1,365,365,1218922660
-1619,2,557,557,1218922660
-1619,3,295,295,1218922660
-1619,4,207,207,1218922660
-1619,5,407,407,1218922660
-1619,6,415,415,1218922660
-1619,7,179,179,1218922660
-1619,8,247,247,1218922660
-1619,9,285,285,1218922660
-1619,10,349,349,1218922660
-1619,11,371,371,1218922660
-1619,12,397,397,1218922660
-1619,13,453,453,1218922660
-1619,14,493,493,1218922660
-1619,15,497,497,1218922660
-1619,16,159,159,1218922660
-1619,17,561,561,1218922660
-1619,18,227,227,1218922660
-1619,19,257,257,1218922660
-1619,20,513,513,1218922660
-1619,21,481,481,1218922660
-1619,22,349,349,1218922660
-1619,23,401,401,1218922660
-1619,24,207,207,1218922660
-1619,25,323,323,1218922660
-1603,1,367,367,1264622060
-1603,2,551,551,1264622060
-1603,3,295,295,1264622060
-1603,4,207,207,1264622060
-1603,5,401,401,1264622060
-1603,6,411,411,1264622060
-1603,7,179,179,1264622060
-1603,8,251,251,1264622060
-1603,9,285,285,1264622060
-1603,10,349,349,1264622060
-1603,11,371,371,1264622060
-1603,12,399,399,1264622060
-1603,13,455,455,1264622060
-1603,14,495,495,1264622060
-1603,15,497,497,1264622060
-1603,16,161,161,1264622060
-1603,17,561,561,1264622060
-1603,18,229,229,1264622060
-1603,19,257,257,1264622060
-1603,20,513,513,1264622060
-1603,21,477,477,1264622060
-1603,22,349,349,1264622060
-1603,23,401,401,1264622060
-1603,24,209,209,1264622060
-1603,25,325,325,1264622060
-1586,1,363,363,1311921475
-1586,2,321,321,1311921475
-1586,3,291,291,1311921475
-1586,4,207,207,1311921475
-1586,5,397,397,1311921475
-1586,6,413,413,1311921475
-1586,7,181,181,1311921475
-1586,8,251,251,1311921475
-1586,9,287,287,1311921475
-1586,10,353,353,1311921475
-1586,11,375,375,1311921475
-1586,12,397,397,1311921475
-1586,13,457,457,1311921475
-1586,14,499,499,1311921475
-1586,15,499,499,1311921475
-1586,16,163,163,1311921475
-1586,17,197,197,1311921475
-1586,18,231,231,1311921475
-1586,19,261,261,1311921475
-1586,20,517,517,1311921475
-1586,21,469,469,1311921475
-1586,22,347,347,1311921475
-1586,23,405,405,1311921475
-1586,24,213,213,1311921475
-1586,25,329,329,1311921475
-1570,1,371,371,1359920897
-1570,2,319,319,1359920897
-1570,3,293,293,1359920897
-1570,4,209,209,1359920897
-1570,5,403,403,1359920897
-1570,6,413,413,1359920897
-1570,7,181,181,1359920897
-1570,8,251,251,1359920897
-1570,9,289,289,1359920897
-1570,10,353,353,1359920897
-1570,11,377,377,1359920897
-1570,12,399,399,1359920897
-1570,13,459,459,1359920897
-1570,14,499,499,1359920897
-1570,15,499,499,1359920897
-1570,16,165,165,1359920897
-1570,17,565,565,1359920897
-1570,18,233,233,1359920897
-1570,19,263,263,1359920897
-1570,20,519,519,1359920897
-1570,21,479,479,1359920897
-1570,22,353,353,1359920897
-1570,23,405,405,1359920897
-1570,24,213,213,1359920897
-1570,25,329,329,1359920897
-1554,1,365,365,1410120327
-1554,2,565,565,1410120327
-1554,3,293,293,1410120327
-1554,4,209,209,1410120327
-1554,5,405,405,1410120327
-1554,6,415,415,1410120327
-1554,7,185,185,1410120327
-1554,8,253,253,1410120327
-1554,9,291,291,1410120327
-1554,10,357,357,1410120327
-1554,11,379,379,1410120327
-1554,12,401,401,1410120327
-1554,13,461,461,1410120327
-1554,14,501,501,1410120327
-1554,15,499,499,1410120327
-1554,16,165,165,1410120327
-1554,17,199,199,1410120327
-1554,18,235,235,1410120327
-1554,19,265,265,1410120327
-1554,20,519,519,1410120327
-1554,21,473,473,1410120327
-1554,22,347,347,1410120327
-1554,23,409,409,1410120327
-1554,24,215,215,1410120327
-1554,25,331,331,1410120327
-1538,1,367,367,1461119780
-1538,2,323,323,1461119780
-1538,3,295,295,1461119780
-1538,4,461,461,1461119780
-1538,5,407,407,1461119780
-1538,6,421,421,1461119780
